"ROOMID","SITEID","NAME","CATEGORY","TYPE","CLASSIFICATION","ROOMGRPCODE","ZONE","CAPACITY","PREFMIN","PREFMAX","DEPTID","ROOMAREA","DYNAFILL","SETID","UNIQUEFIELD","LINKCODE","CAMPUSID"
"505","002","Gordon Street (25) Maths 505","REC","CB","LT","","YP",86,,,"ESTDV_ADM",106.760002,"N","LIVE-17-18","","GRDST25_","X01"
"LB30","045","Roberts Building LB30","REC","DB","LA","","N",,,,"MECHN_ENG",20.2999992,"N","LIVE-17-18","","RBRTS_","X01"
"B17","086","Torrington (1-19) B17 Basement LT","SNR","CB","LT","","YP",92,,,"ESTDV_ADM",102.800003,"N","LIVE-17-18","","TORPL19_","X01"
"LB4","045","Roberts Building LB4","REC","DB","LA","","N",,,,"MECHN_ENG",8.69999981,"N","LIVE-17-18","","RBRTS_","X01"
"LB7","045","Roberts Building LB7","REC","DB","LA","","N",2,,,"MECHN_ENG",108.300003,"N","LIVE-17-18","","RBRTS_","X01"
"ICHB","240","ICH - Wolfson Centre Room B (Ground Floor)","CHH","DB","CR","","YA",52,,,"CHILD_PHS",-1,"N","LIVE-17-18","","","X05"
"LB7A","045","Roberts Building LB7A","REC","DB","LA","","N",2,,,"MECHN_ENG",44.2000008,"N","LIVE-17-18","","RBRTS_","X01"
"HUBLBY","221","Archway - Holborn Union - Library - Meeting Rm","WHH","WB","MR","","N",10,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"B09","085","Bedford Way B09","SNR","DB","CR","","N",12,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","BEDFD_","X01"
"ICHB","240","ICH - Wolfson Centre Room B (Ground Floor)","CHH","DB","MR","","YA",26,,,"CHILD_PHS",0,"N","LIVE-17-18","1","","X05"
"ICHD","240","ICH - Wolfson Centre Room D (Ground Floor)","CHH","DB","CR","","YP",24,,,"CHILD_PHS",0,"N","LIVE-17-18","1","","X05"
"G02","400","Bidborough House G02","SNR","DB","MR","","NN",8,,,"LAWSD_LAW",-1,"N","LIVE-15-16","","",""
"G6","067","Christopher Ingold Nyholm Room","SNR","DB","SS","","N",60,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"FH03","FH","Friends House Drayton Room 3","EXT","DB","CR","","N",12,,,"LAWSD_LAW",-1,"N","LIVE-15-16","","","X06"
"G31","109","Bentham Cissy Chu Common Room","SNR","DB","SS","","N",150,,,"LAWSD_LAW",-1,"N","LIVE-15-16","","BENTH_G31","X01"
"HUBLIT","221","Archway - Holborn Union - Library - IT Training Rm","WHH","WB","CR","","N",18,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"116","086","Torrington (1-19) 116","SNR","DB","LB","","N",16,,,"STATS_MAP",-1,"N","LIVE-15-16","","TORPL19_","X01"
"123","086","Torrington (1-19) 123 Statistics Postgraduate Study Room","SNR","DB","CR","","N",10,,,"STATS_MAP",0,"N","LIVE-15-16","","TORPL19_","X01"
"B16","086","Torrington (1-19) B16","SNR","DB","OF","","N",,,,"ISDME_ADM",-1,"N","LIVE-15-16","","TORPL19_","X01"
"B15","086","Torrington (1-19) B15","SNR","DB","CR","","N",9,,,"ISDME_ADM",-1,"N","LIVE-15-16","","TORPL19_","X01"
"G32","086","Torrington (1-19) G32","SNR","DB","MR","","N",15,,,"CALTG_SHS",-1,"N","LIVE-15-16","","TORPL19_","X01"
"B2","047","Torrington (33-35) B2","REC","DB","CR","","N",15,,,"ICULT_ART",102.800003,"N","LIVE-15-16","","","X01"
"517A","082","Wates 517A","SNR","DB","CR","","N",30,,,"BSPLN_BEN",-1,"N","LIVE-15-16","","WATES_","X01"
"2.12a","317","Hampstead Road (132) 2.12a","SNR","DB","LT","","N",120,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"G03","047","Torrington (33-35) G03","REC","DB","CR","","N",15,,,"ICULT_ART",102.800003,"N","LIVE-15-16","","","X01"
"311","024","Gordon Square (26) 311","REC","DB","OF","","N",5,,,"HISTR_SHS",-1,"N","LIVE-15-16","","GRDSQ26_","X01"
"101","082","Wates 101","SNR","DB","CR","","N",55,,,"BSARC_BEN",54.4399986,"N","LIVE-15-16","","WATES_","X01"
"107","082","Wates 107","SNR","DB","CR","","N",100,,,"BSARC_BEN",54.4399986,"N","LIVE-15-16","","WATES_","X01"
"HUBSCCA","221","Archway - Holborn Union - Skills Centre - Rm 3","WHH","WB","CR","","N",18,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"DMSR","224","Archway - Clerkenwell - Medicine - Seminar Rm","WHH","WB","MR","","N",15,,,"EXWRBO",-1,"N","LIVE-15-16","","CLERK_","X03"
"CHA01","226","Archway - Charterhouse - Second Floor - Rm 1","WHH","WB","CR","","N",25,,,"EXWRBO",-1,"N","LIVE-15-16","","CHART_","X03"
"CHA02","226","Archway - Charterhouse - Second Floor - Rm 2","WHH","WB","CR","","N",0,,,"EXWRBO",-1,"N","LIVE-15-16","","CHART_","X03"
"CHAFRM01","CHAFRM","Chase Farm Hospital - Rm 1","CFH","WB","CR","","N",20,,,"EXWRBO",-1,"N","LIVE-15-16","","CHASE_","X03"
"CHAFRM02","CHAFRM","Chase Farm Hospital - Rm 2","CFH","WB","CR","","N",15,,,"EXWRBO",-1,"N","LIVE-15-16","","CHASE_","X03"
"201","082","Wates 201","SNR","DB","CR","","N",21,,,"BSARC_BEN",33.2999992,"N","LIVE-15-16","","WATES_","X01"
"213","082","Wates 213","SNR","DB","CR","","N",20,,,"BSARC_BEN",35.5999985,"N","LIVE-15-16","","WATES_","X01"
"504","087","Gower Street (66-72) 504","SNR","DB","LT","","N",44,,,"MECHN_ENG",-1,"N","LIVE-15-16","","GOWST66_","X01"
"G2","087","Gower Street (66-72) G2","SNR","DB","SS","","N",45,,,"ELECN_ENG",-1,"N","LIVE-15-16","","GOWST66_","X01"
"205","371","Gordon Square (50) 205","REC","DB","CR","","N",5,,,"SELCS_ART",-1,"N","LIVE-15-16","","GRDSQ49_","X01"
"G01","013","Chadwick G01 Meeting Room","REC","DB","MR","","N",12,,,"ESTDV_ADM",21.2900009,"N","LIVE-15-16","","CHADW_","X01"
"226","082","Wates 226","SNR","DB","PC1","","N",20,,,"BSARC_BEN",-1,"N","LIVE-15-16","","WATES_","X01"
"206","082","Wates 206","SNR","DB","PC1","","N",20,,,"BSARC_BEN",-1,"N","LIVE-15-16","","WATES_","X01"
"320","040","Foster Court 320","REC","DB","OF","","N",10,,,"HEBRW_ART",-1,"N","LIVE-15-16","","FOSTR_","X01"
"CH","Senate","Senate House Chancellors Hall","EXT","DB","LT","","N",100,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"2.04","318","Hampstead Road (140) 2.04","SNR","DB","CR","","N",64,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"ICHPUC","238","PUW Circulation Area","CHH","DB","SS","","NN",70,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"2.06","318","Hampstead Road (140) 2.06","SNR","DB","CR","","N",46,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"1.36","318","Hampstead Road (140) 1.36","SNR","DB","CR","","N",6,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"301","003","Pearson 301","REC","DB","CR","","Y",20,,,"GEOGR_SHS",-1,"N","LIVE-15-16","","PEARS_","X01"
"B10","244","Alexandra B10","NEU","DB","CR","","N",15,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","ALXHS_","X05"
"B04","013","Chadwick B04 - Public Cluster","REC","DB","PC1","","N",28,,28,"ESTDV_ADM",79.1999969,"N","LIVE-15-16","","CHADW_","X01"
"1.37","318","Hampstead Road (140) 1.37","SNR","DB","CR","","N",6,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"1.38","318","Hampstead Road (140) 1.38","SNR","DB","CR","","N",6,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"1.30","318","Hampstead Road (140) 1.30","SNR","DB","CR","","N",14,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"1.31","318","Hampstead Road (140) 1.31","SNR","DB","LT","","N",46,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"218","040","Foster Court 218","REC","DB","CR","","N",20,,,"ESTDV_ADM",37.7599983,"N","LIVE-15-16","","FOSTR_","X01"
"1.32","318","Hampstead Road (140) 1.32","SNR","DB","CR","","N",24,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"1.33","318","Hampstead Road (140) 1.33","SNR","DB","CR","","N",24,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"1.40","318","Hampstead Road (140) 1.40","SNR","DB","LT","","N",40,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"220","040","Foster Court 220","REC","DB","CR","","N",20,,,"ESTDV_ADM",37.2799988,"N","LIVE-15-16","","FOSTR_","X01"
"G.08","318","Hampstead Road (140) G.08 Public Cluster","SNR","DB","PC1","","N",25,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"G.02","318","Hampstead Road (140) G.02","SNR","DB","LT","","N",160,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"203","035","Gordon Square (16-18) 203","REC","DB","CR","","N",10,,,"SCAND_ART",-1,"N","LIVE-15-16","","GRDSQ16_","X01"
"207","035","Gordon Square (16-18) 207","REC","DB","CR","","N",10,,,"SCAND_ART",-1,"N","LIVE-15-16","","GRDSQ16_","X01"
"210","035","Gordon Square (16-18) 210","REC","DB","CR","","N",10,,,"SCAND_ART",-1,"N","LIVE-15-16","","GRDSQ16_","X01"
"211","035","Gordon Square (16-18) 211","REC","DB","CR","","N",10,,,"SCAND_ART",-1,"N","LIVE-15-16","","GRDSQ16_","X01"
"G04","082","Wates G04","SNR","DB","CR","","N",20,,,"BSARC_BEN",-1,"N","LIVE-15-16","","WATES_","X01"
"2.07","317","Hampstead Road (132) 2.07","SNR","DB","LT","","N",60,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"G.09","318","Hampstead Road (140) G.09 Public Cluster","SNR","DB","PC1","","N",25,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"302","087","Gower Street (66-72) 302","SNR","DB","CR","","N",78,,,"ELECN_ENG",136.5,"N","LIVE-15-16","","GOWST66_","X01"
"2.06","317","Hampstead Road (132) 2.06","SNR","DB","CR","","N",16,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"B25","026","Gordon Square (24) B25","REC","DB","SS","","N",15,,,"HISTR_SHS",-1,"N","LIVE-15-16","","GRDSQ24_","X01"
"2.08","317","Hampstead Road (132) 2.08","SNR","DB","LT","","N",64,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"442","045","Roberts 442","REC","DB","CR","","N",10,,,"MECHN_ENG",99.5999985,"N","LIVE-15-16","","RBRTS_","X01"
"401D","044","Darwin 401D","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","DARWN_","X01"
"625","044","Darwin 625","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","DARWN_","X01"
"2.12b","317","Hampstead Road (132) 2.12b","SNR","DB","LT","","N",120,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"01","WAR01","Warburg Classroom 1","","DB","CR","","N",20,,,"",-1,"N","LIVE-15-16","","",""
"407","045","Roberts 407","REC","DB","OF","","N",3,,,"MECHN_ENG",-1,"N","LIVE-15-16","","RBRTS_","X01"
"1.34","318","Hampstead Road (140) 1.34","SNR","DB","CR","","N",20,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"1.39","318","Hampstead Road (140) 1.39","SNR","DB","CR","","N",20,,,"BSARC_BEN",-1,"N","LIVE-15-16","","","X01"
"G37","086","Torrington (1-19) G37","SNR","DB","CR","","N",15,,,"EPI02_PHS",-1,"N","LIVE-15-16","","TORPL19_","X01"
"G38","086","Torrington (1-19) G38","SNR","DB","CR","","N",20,,,"EPI02_PHS",-1,"N","LIVE-15-16","","TORPL19_","X01"
"807","002","Gordon Street (25) Maths 807","REC","DB","OF","","N",16,,,"MATHS_MAP",-1,"N","LIVE-15-16","","GRDST25_","X01"
"G26","107","Drayton G26","SNR","DB","CR","","N",15,,,"ECONS_SHS",-1,"N","LIVE-15-16","","DRAYT_","X01"
"G20","107","Drayton G20","SNR","DB","OF","","N",2,,,"ECONS_SHS",-1,"N","LIVE-15-16","","DRAYT_","X01"
"223","013","Chadwick 2.23 - Public Cluster","REC","CB","PC1","","YN",20,,18,"ESTDV_ADM",54.7999992,"N","LIVE-15-16","","CHADW_","X01"
"G20","067","Christopher Ingold G20 - Public Cluster","SNR","CB","PC1","","YN",48,,48,"ESTDV_ADM",134.100006,"N","LIVE-15-16","","CINGL_","X01"
"B115A","212","Cruciform B115A - Public Cluster","CLU","CB","PC1","","YN",50,,66,"ESTDV_ADM",-1,"N","LIVE-15-16","","CRUCI_","X01"
"G15","042","DMS Watson G15 - Public Cluster","REC","CB","PC1","","YN",26,,26,"ESTDV_ADM",77.9000015,"N","LIVE-15-16","","DWATS_","X01"
"B29","040","Foster Court B29 - Public Cluster","REC","CB","PC1","","YN",58,,,"ESTDV_ADM",130.699997,"N","LIVE-15-16","","FOSTR_","X01"
"203","028","Gordon Square (23) 203 - Public Cluster","REC","CB","PC1","","YN",11,,10,"ESTDV_ADM",21.3999996,"N","LIVE-15-16","","GRDSQ23_","X01"
"105","002","Gordon Street (25) 105 - Public Cluster","REC","CB","PC1","","YN",45,,30,"ESTDV_ADM",96.8000031,"N","LIVE-15-16","","GRDST25_","X01"
"117","090","Archaeology 117 - Public Cluster","SNR","CB","PC1","","YN",11,,12,"ESTDV_ADM",28.1000004,"N","LIVE-15-16","","IARCH_","X01"
"501","090","Archaeology 501 - Public Cluster","SNR","CB","PC1","","YN",19,,19,"ESTDV_ADM",45.7999992,"N","LIVE-15-16","","IARCH_",""
"TAV31","TAV31","Tavistock (31) SPP Commitee Room 2","SNR","DB","CR","","N",15,,,"DEVPU_BEN",-1,"N","LIVE-15-16","","","X01"
"105","371","Gordon Square (51) 105","REC","DB","CR","","N",20,,,"AMERC_SHS",32.7999992,"N","LIVE-15-16","","GRDSQ49_","X01"
"304","026","Gordon Square (24) 304","REC","DB","OF","","N",10,,,"HISTR_SHS",-1,"N","LIVE-15-16","","GRDSQ24_","X01"
"102","030","Gordon Square (21) 102 Sem 5","REC","DB","LT","","N",25,,,"HARTD_SHS",23.1900005,"N","LIVE-15-16","","","X01"
"31","029","Gordon Square (22) 3.1","REC","DB","MR","","N",15,,,"SCITS_MAP",-1,"N","LIVE-15-16","","GRDSQ22_","X01"
"G01","030","Gordon Square (21) G01 Sem 2","REC","DB","LT","","N",35,,,"HARTD_SHS",31.5,"N","LIVE-15-16","","GRDSQ21_","X01"
"113","086","Torrington (1-19) 113 - Public Cluster","SNR","CB","PC1","","YN",65,,60,"ESTDV_ADM",157.199997,"N","LIVE-15-16","","TORPL19_","X01"
"FUBLT","227","Archway - G05 Furnival - Lecture Theatre","WHH","WB","LT","","N",77,,,"EXWRBO",-1,"N","LIVE-15-16","","FURNV_","X03"
"FURGYM","227","Archway - G15 Furnival - Gymnasium","WHH","WB","CR","","N",70,,,"EXWRBO",-1,"N","LIVE-15-16","","FURNV_","X03"
"WHSTAG10","228","Archway - Staple Building - G10","WHH","WB","CR","","N",35,,,"EXWRBO",-1,"N","LIVE-15-16","","STAPL_","X03"
"3802","016","Study Room (B8)","REC","DB","CR","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","MEDSC_","X01"
"WHSTAG08","228","Archway - Staple Building - G08","WHH","WB","CR","","N",25,,,"EXWRBO",-1,"N","LIVE-15-16","","STAPL_","X03"
"WHSTAG09","228","Archway - Staple Building - G09","WHH","WB","CR","","N",25,,,"EXWRBO",-1,"N","LIVE-15-16","","STAPL_","X03"
"WHSTAG12","228","Archway - Staple Building - G12","WHH","WB","CR","","N",35,,,"EXWRBO",-1,"N","LIVE-15-16","","STAPL_","X03"
"G15","201","Rockefeller G15","CLU","CB","CR","","YP",12,,,"ESTDV_ADM",27.0699997,"N","LIVE-15-16","","ROCKF_","X01"
"RBTAL","201","Topgraphical Anatomy Laboratory (Ground Floor)","CLU","DB","LA","","N",200,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","ROCKF_","X01"
"124G","067","Christopher Ingold 124g - Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"135","067","Christopher Ingold 135 - Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"B03","032","Gordon Square (20) B03 Sem 1","REC","CB","CR","","YP",14,,,"ESTDV_ADM",22.7299995,"N","LIVE-15-16","","GRDSQ20_","X01"
"201","067","Christopher Ingold 201- Turner Laboratory","SNR","DB","LA","","N",116,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"233","067","Christopher Ingold 233 - Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"328","067","Christopher Ingold 328 - Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"331","067","Christopher Ingold 331- Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"333","067","Christopher Ingold 333 - Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"336","067","Christopher Ingold 336 - Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"340","067","Christopher Ingold 340 - Office","SNR","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"RYLFR02307","281","Royal Free Hospital - CAL Room","RFH","WB","CR","","N",0,,,"EXWRBO",-1,"N","LIVE-15-16","","ROYAL_","X03"
"102","028","Gordon Square (23) 102","REC","CB","CR","","YP",14,,,"ESTDV_ADM",21.5,"N","LIVE-15-16","","GRDSQ23_","X01"
"335","374","Rockefeller 335","CLU","CB","CR","","YP",14,,,"ESTDV_ADM",29.7000008,"N","LIVE-15-16","","ROCKF_","X01"
"G18A","067","Christopher Ingold G18a","SNR","DB","OF","","N",10,,48,"CHEMS_MAP",-1,"N","LIVE-15-16","","CINGL_","X01"
"123","040","Foster Court 123","REC","CB","CR","","YP",15,,,"ESTDV_ADM",22.8999996,"N","LIVE-15-16","","FOSTR_","X01"
"204","044","Darwin 204","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","DARWN_","X01"
"215","040","Foster Court 215","REC","CB","CR","","YP",15,,,"ESTDV_ADM",27.5300007,"N","LIVE-15-16","","FOSTR_","X01"
"107","044","Darwin 107","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","DARWN_","X01"
"216","044","Darwin 216","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","DARWN_","X01"
"217A","044","Darwin 217a","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","DARWN_","X01"
"217","040","Foster Court 217","REC","CB","CR","","YP",15,,,"ESTDV_ADM",28.9599991,"N","LIVE-15-16","","FOSTR_","X01"
"219","040","Foster Court 219","REC","CB","CR","","YP",15,,,"ESTDV_ADM",28.2999992,"N","LIVE-15-16","","FOSTR_","X01"
"G04","122","Mill Hill -  Fry Observatory (A3)","ACO","DB","CR","","N",,,,"PHYSA_MAP",-1,"N","LIVE-15-16","","MHILL_","X04"
"409","244","Alexandra 409","NEU","DB","CR","","N",15,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","ALXHS_","X05"
"301","028","Gordon Square (23) 301","REC","DB","OF","","N",10,,,"HISTR_SHS",-1,"N","LIVE-15-16","","GRDSQ23_","X01"
"405","090","Archaeology 405","SNR","DB","LA","","N",15,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"410","090","Archaeology 410","SNR","DB","CR","","N",30,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"412","090","Archaeology 412","SNR","DB","CR","","N",25,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"612","090","Archaeology 612","SNR","DB","CR","","N",50,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"M204","001","KLB M204","REC","DB","CR","","N",8,,,"MATHS_MAP",-1,"N","LIVE-15-16","","KLONS_","X01"
"614","090","Archaeology 614","SNR","DB","OF","","N",8,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"615","090","Archaeology 615","SNR","DB","LA","","N",10,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"209","090","Archaeology 209","SNR","DB","CR","","N",50,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"B06","088","Gordon House B06 Heritage Science Lab","SNR","DB","LA","","N",40,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","GRDHS_","X01"
"XG1","056","Bentham Keeton Room","SNR","DB","MR","","N",35,,,"LAWSD_LAW",-1,"N","LIVE-15-16","","BENTH_XG1","X01"
"YMCAI","YMCA","Indian YMCA","EXT","DB","CR","","N",120,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"17212","242","Queen Square House Foyer Meeting Room 1","SNR","DB","CR","","N",30,,,"NEURO_BRN",-1,"N","LIVE-15-16","","ION","X05"
"FHBS","FH","Friends House Bloomsbury Suite","EXT","DB","CR","","N",48,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"MWBD","MWH","Mary Ward House The Boardroom","EXT","DB","CR","","N",10,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"CM4","IOE","Committee Room 4","EXT","DB","CR","","N",12,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"CM3","IOE","Committee Room 3","EXT","DB","CR","","N",15,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"790","IOE","Institute of Education 790","EXT","DB","CR","","N",20,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"CM1","IOE","Committee Room 1","EXT","DB","CR","","N",30,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"308","090","Archaeology 308","SNR","DB","LA","","N",20,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"417","350","Malet Place Eng 4.17","REC","DB","OF","","N",20,,,"COMPS_ENG",-1,"N","LIVE-15-16","","MALET_","X01"
"2059","121","North Wing Lecture Room (C5)","ACO","DB","CR","","N",12,,,"PHYSA_MAP",-1,"N","LIVE-15-16","","MHILL_","X04"
"406","350","Malet Place Eng 4.06","REC","DB","LA","","N",14,,,"COMPS_ENG",-1,"N","LIVE-15-16","","MALET_","X01"
"217","013","Chadwick 217","REC","DB","CR","","N",16,,,"CIVLN_ENG",-1,"N","LIVE-15-16","","CHADW_","X01"
"404","350","Malet Place Eng 4.04","REC","DB","OF","","N",10,,,"COMPS_ENG",-1,"N","LIVE-15-16","","MALET_","X01"
"322C","090","Archaeology 322C","SNR","DB","LA","","N",10,,,"ARCLG_SHS",-1,"N","LIVE-15-16","","IARCH_","X01"
"CHWRMG12","013","Chadwick Thompson Room","REC","DB","MR","","N",14,,,"CIVLN_ENG",-1,"N","LIVE-15-16","","CHADW_","X01"
"402","350","Malet Place Eng 4.02","REC","DB","OF","","N",10,,,"COMPS_ENG",-1,"N","LIVE-15-16","","MALET_","X01"
"RYLFRPR2","281","Royal Free Hospital - Room 4 (prev. PR2)","RFH","WB","CR","","N",50,,,"EXWRBO",-1,"N","LIVE-15-16","","ROYAL_","X03"
"607","002","Gordon Street (25) Maths 607","REC","DB","OF","","N",6,,,"MATHS_MAP",-1,"N","LIVE-15-16","","GRDST25_","X01"
"M304","001","KLB Room M304","REC","DB","CR","","N",10,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","KLONS_","X01"
"106","046","Malet Place (1-4) 106","REC","DB","OF","","N",10,,,"FRENC_ART",-1,"N","LIVE-15-16","","MALTP_","X01"
"107","046","Malet Place (1-4) 107","REC","DB","OF","","N",10,,,"FRENC_ART",-1,"N","LIVE-15-16","","MALTP_","X01"
"WECSR19","WHWEC","Whittington Education Centre - 11","WHH","WB","CR","","N",50,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"WECSR20","WHWEC","Whittington Education Centre - 13","WHH","WB","CR","","N",35,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"108","046","Malet Place (1-4) 108","REC","DB","OF","","N",10,,,"FRENC_ART",-1,"N","LIVE-15-16","","MALTP_","X01"
"WECSR20A","WHWEC","Whittington Education Centre - 12","WHH","WB","CR","","N",15,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"109","046","Malet Place (1-4) 109","REC","DB","OF","","N",10,,,"FRENC_ART",-1,"N","LIVE-15-16","","MALTP_","X01"
"110","046","Malet Place (1-4) 110","REC","DB","OF","","N",10,,,"FRENC_ART",-1,"N","LIVE-15-16","","MALTP_","X01"
"112","046","Malet Place (1-4) 112","REC","DB","OF","","N",10,,,"FRENC_ART",-1,"N","LIVE-15-16","","MALTP_","X01"
"UG3","UNI","UG3","EXT","DB","CR","","NN",25,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"5004","204","Seminar Room (303)","CLU","DB","CR","","N",100,,,"WOMEN_PHS",-1,"N","LIVE-15-16","","CHENI86_","X01"
"WECSR3","WHWEC","Whittington Education Centre - 4","WHH","WB","CR","","N",50,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"HUBSCS","221","Archway - Holborn Union - Skills Centre - Rm 1","WHH","WB","CR","","N",10,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"T63","UNI","T6.3","EXT","DB","CR","","NN",28,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"WECSR4","WHWEC","Whittington Education Centre - 5","WHH","WB","CR","","N",24,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"HUBSCTR1","221","Archway - Holborn Union - Skills Centre - Rm 4","WHH","WB","CR","","N",18,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"WECSR5","WHWEC","Whittington Education Centre - 6","WHH","WB","CR","","N",32,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"B1","363","Tottenham (188) B1","SNR","DB","CR","","N",12,,,"ESTDV_ADM",21.7999992,"N","LIVE-15-16","","TOTCR188_","X01"
"B10","INCN","Institute of Cognitive Neuroscience, Room B10","SNR","DB","CR","","N",35,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","","X05"
"227","001","KLB Office 227","REC","DB","OF","","N",5,,,"CHEMS_MAP",-1,"N","LIVE-15-16","","KLONS_","X01"
"G19","005","Wilkins North Cloisters","REC","CB","SS","","YN",310,,,"ESTDV_ADM",236.199997,"N","LIVE-15-16","","WILKN_","X01"
"WECSR9","WHWEC","Whittington Education Centre - 10","WHH","WB","CR","","N",40,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"RYLFRPR1","281","Royal Free Hospital - Room 3 (prev. PR1)","RFH","WB","CR","","N",50,,,"EXWRBO",-1,"N","LIVE-15-16","","ROYAL_","X03"
